prompt,answer,,,,,,
11,"estou com duas oportunidades de vagas, uma na XP inc, na parte de assessoria e a outra seria estagio em crédito no Bradesco.
Pensando a longo prazo tanto em aprendizado quanto na parte financeira, qual escolha você acha que poderia me favorecer mais?","Eu começarei em crédito dado o que é uma área mais técnica e consequentemente você aceleraria o seu aprendizado. Depois de ter uma experiência nessa posição, você pode refletir se faz sentido ou não migrar para uma área mais comercial como assessoria",,,,,,
12,"Me tira uma dúvida. Teria algum problema eu começar o seu curso pelo módulo X (aprenda a investir em ações)?

Ai depois que terminar o X, voltar pro módulo II sobre valuation","Não tem problema, mas eu acho que é melhor começar no módulo dois dado que foca em analisar um caso na prática. Se tiver com alguma dificuldade na parte contábil, dá uma olhada antes nas aulas de contabilidade que vai facilitar bastante o entendimento",,,,,,
13,"boa noite, perdão por incomodar essa hora, mas o motivo é o seguinte, fiz uma entrevista na XP pra uma posição de backoffice(M&A).

Porém eu ainda não dominei 100% a questão do valuation, tô com algumas dificuldades de modelagem, vocês acham que seria uma boa aceitar a oportunidade na XP mesmo sem dominar o M&A na prática?

Sei que na parte de M&A é bastante importante a questão de modelagem e cenários, eu ainda tô um pouco inseguro com relação a esses conteúdos, seria válido aceitar a oportunidade pra aprender mais na prática? Ou vocês acham que seria mal visto pela empresa o colaborar não ter domínio 100% desses conteúdos","nenhuma empresa espera contratar alguém que domine 100% do conteúdo. A não ser que seja uma vaga sênior ou algo perto disso.

Não se preocupa com isso não, continua estudando, aceite a vaga e aprenda na prática, vai te ajudar muito o aprendizado prático",,,,,,
14,"vou me candidatar a uma vaga de wealth management e tô montando um sample para anexar no currículo, vocês teriam algum exemplo ou o de algum outro aluno para que eu possa analisar, primeira vaga que vou me candidatar","Dá uma olhada no YouTube, digita ""Sample Private peruffo"" que você vai achar um exemplo lá",,,,,,
15,"Estou revendo algumas aulas p anotar e relembrar d algumas coisas básicas... podem me dizer quais seriam interessantes para mim entender mais coisas como dados econômicos, DI, IPCA, Etc?

Coisa do dia a dia q são usados em qualquer análise, fico menos perdidos nas aulas mais práticas","Dados econômicos mais importantes:

Vendas no varejo
IPCA
IGPM
PMI
PIB
CDI
Taxa de desemprego.

Esses são os mais importantes",,,,,,
16,"Estou fazendo o valuation da Alliar, porem, a estrutura societária mudou muito, pelo que entendi eles estão tentando fechar o capital e o preço da açao caiu muito. O fundo Fonte de Saude e Lormont detem aproximadamente 93,31% do capital social da companhia.

Qual seria a melhor abordagem para fazer o valuation nesse caso?","Fazer um DCF é sempre a forma mais completa de fazer uma avaliação, faça essa",,,,,,
17,"Estagiei durante o verão na genial investimentos, e me fizeram uma proposta para formar aqui nos EUA e já ir trabalhar com eles, na mesa de contratos futuros de commodities

Não quis me precipitar e perguntar salário, você saberia me dizer uma base ou alguma média para essa área ?",Vai depender se é mesa varejo ou mesa institucional… Mas a Genial costuma pagar menos do que outras empresas do mercado,,,,,,
18,"to na aula de contabilidade, parte de ncg e fluxo operacional, questão do ncg de pegar ativos de clientes e estoques e subtrari pelo passivo circulante, ai no exemplo compartilhado la a gente tinha um ncg de -2 e outro de 6, ai entra como capital de giro de 8, mas n entendi o porque entra como -8

pelo que entendi q o ncg aumentando era algo bom, mas como ta entranado negativo eu não entendi","Não necessariamente aumentar ncg é algo bom. As vezes a empresa vai pagar os fornecedores a vista, pra pegar algum desconto e esse dinheiro é advindo de empréstimos. Existe alguns motivos que pode fazer o ncg “piorar” a curto prazo mas é bom pra empresa",,,,,,
19,Como faço para escrever um relatório,"Da uma olhada no nossa aula de como escrever um relatório, no módulo extra. Vai sanar todas suas dúvidas",,,,,,
20,"Estou participando de um processo em que a etapa 1 foi fazer um relatório sobre uma empresa contando um pouco da história dela, agora estou na etapa 2 que é para enviar um modelo fcff de valuation, acha que eu devo enviar o que é disponibilizado no curso ou que eu devo construir um menor e mais resumido para a vaga? La pedia premissas, dados do modelo, contas e organização, esses são os critérios de avaliação",Usa o modelo do treinamento que ele é simples porém completo,,,,,,
21,Comecei a assistir o conteúdo de renda fixa mas não entendi a parte que onde é dito que um título pré fixado tem a sua rentabilidade convergindo aos valores de mercado caso a Selic caia,O título prefixado contabiliza a taxa que você contratou independentemente da taxa de mercado. Porém o preço do título pode variar até o vencimento dado que o valor de face deste título vai ser descontado até hoje utilizando a taxa de mercado,,,,,,70
22,Sabe me informar um curso bom de excel?,O treinamento entrega tudo o que você precisa saber sobre excel. Não precisa ser expert,,,,,,
23,"estou analisando a smart fit, e eles colocaram resultado de equivalencia patrimonial juntos com as despesas q entram no sg&a

dentro do valuation eu coloco o resultado de equivalencia patrimonial em outros ou dentro do sg&a?","Se o resultado for recorrente e operacional, vale a pena colocar de uma forma que impacte o Ebit. Se for não recorrente e não operacional, vale colocar na conta outros sem impactar a projeção de ebit.",,,,,,
24,"Estou na aula de montar um modelo de dividendos do zero, no curso de valuation

nessa aula o Ricardo pegou uma planilha da ITAUSA, que tem tanto o total de dividendos liquido quanto o total bruto

mas atualmente no site deles, nao tem o total liquido, o que fazer para chegar nesse valor?

outra duvida, em sites de outras empresas, em que nao é feita essa separacao de total de dividendos, tendo somente o dividendo pago por mes, devo fazer uma media do ano?",Importante sempre considerar todos os proventos pagos no modelo (tanto dividendos quanto juros sob capital próprio) e considerar sempre os valores líquidos. Normalmente você vai fazer a projeção com a visão anual estimando os proventos pagos por ano,,,,,,
25,"Quarta vou ter uma entrevista para summer job em uma asset, focada na área de Anslise fundamentalista

Algumas dicas de postura, possíveis perguntas e coisas do tipo","Minha principal sugestão para você é já ter um sample feito de forma que você consiga dialogar em alto nível sobre ele na entrevista, sugiro que você estude bem a empresa antes de falar com eles e que você conheça bem o dia a dia da área para fazer perguntas pertinentes",,,,,,
26,"Meus planos de carreira mudaram e estou focado em pivotar para uma área mais z, como research.

No momento, estou como AAI, qual a perspectiva de mercado nesse tipo de área no momento?

Penso até em áreas como M&A também. Atualmente, como você vê esse tipo de movimento?",O principal desafio nesse movimento é que vai existir um preconceito com relação a você de ser um profissional somente comercial e não técnico. A melhor forma de quebrar este preconceito é demonstrar que está muito bem preparado tecnicamente. Minha sugestão é que você tenha um sample muito bem construído,,,,,,
27,"Gostaria de saber onde devo procurar vagas de estágio na minha cidade (BH), utilizo apenas o linkedin e tenho a percepção de que lá não estão todas as vagas","Existem três principais fontes para você buscar uma vaga de emprego: LinkedIn, site das empresas que contratam e Google. Mas o grande desafio não é achar vaga, sim conseguir ser contratado",,,,,,
28,"corporate do santander

acha possível chegar a um salario porrada?","Com certeza, principalmente na área comercial. O que é interessante também nessa área que muitas vezes você consegue conciliar tudo isso com uma boa qualidade de vida",,,,,,
29,"o que vc acha de trabalhar em mesa ? Mesa de operações de corretora e banco , executando ordem de clientes institucional ou muito grande, conheço um cara que trabalha em uma dessas mesas de uma corretora aqui no Brasil , ganha bastante grana, mas tem uma posição alta lá ( acredito que de sócio ), um dia me levou lá final de pregão e curti muito o ambiente e depois conversando sobre me interessei sobre o que eles fazem de estruturar algumas operacoes , relacionamento com cliente institucional e execução de ordens. Para chegar lá , qual caminho ? E acha que dá grana se não for sócio / alta posição ? Sei que rola um bônus mas não sei se para todos !","Sempre que for mesa institucional de bancos de grande porte, você pode esperar uma remuneração muito agressiva. Mas também, o dia a dia estressante… tem que estar em cima toda hora, lidando com clientes, dando explicação... Para quem gosta de um dia a dia intenso, pode ser uma boa alternativa assim. Mas foca em mesa institucional, não foca no varejo",,,,,,
30," a modelagem seria prever o valor da empresa, certo?

eu não tenho conhecimento disso, apenas fiz o curso até a parte do modelo de Valuation

Então posso dizer que eu tenho meu modelo de Valuation, mas ainda preciso estudar mais sobre modelagem financeira para conseguir fazer uma análise fundamentalista de maneira correta","Modelagem financeira é o ferramental necessário pra você conseguir montar expectativas com relação ao resultado de uma empresa e consequentemente você pode utilizar isso para fazer um valuation. Análise fundamentalista é o ferramental que você utiliza para entender os fundamentos da empresa, e normalmente você usa esse conhecimento antes de montar premissas com relação a performance futura de uma empresa",,,,,,
31," tenho 16 anos, e sou muito interessado em seguir carreira no mercado financeiro

qual caminho acha a melhor opção a se seguir? de faculdades",Não vai ser a faculdade que vai determinar a sua carreira no mercado financeiro. Sugiro você fazer o seguinte: construir um sample para solidificar sua habilidade técnica e depois estudar bem cada uma das artes pra definir qual você quer focar,,,,,,
32, Oq seria uma Flipagem e uma arbitragem?,"flipagem refere-se à venda rápida de ações após um IPO, enquanto arbitragem é uma estratégia mais ampla que busca explorar discrepâncias de preço em diversos tipos de ativos e condições de mercado",,,,,,
33, Tem algum caso em que vale a pena projetar PD&I (pesquisa e desenvolvimento)?,Difícil ser assertivo na projeção dessa linha… normalmente você vai projetar o custo da operação como um todo,,,,,,
34, Queria saber sua opinião a respeito da inteligência artificial no mercado financeiro,"Vai otimizar bastante processos, mas não vai substituir as principais posições no front",,,,,,
35,"estou fazendo um Valuation aqui, agora pegando o conteúdo, notei que vc pega das demonstrações do RI e não dá B3 tem algum motivo?",A melhor fonte da informação sempre vai ser o balanço com assinatura da auditoria,,,,,,
36,cara em PB qual a diferença em ser Officer UHNW(Ultra High Network)? vi essa definição no linkedin e não entendi muito bem,"Basicamente uma diferença de segmentação… quanto mais dinheiro o cliente tem, mais ""high"" vai ser",,,,,,
37,"coloquei como meta aprimorar meu inglês e deixar ele 100%, mas dizem muito sobre o tal “inglês do MF”; “inglês do business”, essas coisas. Isso realmente existe? Impacta no meu desenvolvimento?","Sim, sugiro que você desenvolva muito bem o seu inglês dos negócios para estar competitivo em vagas no mercado financeiro que exigem essa habilidade. Recomendo usar esse site https://engvid.com/",,,,,,
38,"Atualmente, estou em uma posição de “backoffice” um uma instituição financeira, onde estou atuando como piloto de reservas bancárias.

Gostaria de fazer uma transição de carreira o mais rápido possível, mas ainda não sei ao certo se sigo para a carreira de analista de valores mobiliários (recomendação de investimentos/análise de empresas) ou gestor de carteiras e fundos.

O que você acha que seria de mais fácil transição? Tenho 21 anos, estou há 1 ano e meio nessa instituição financeira e estou finalizando o curso de contabilidade na UFMG.",Acho que principal ponto que você deve levar em consideração pra conseguir fazer essa movimentação é estar preparado tecnicamente. O erro mais comum que eu vejo acontecerem profissionais que tentam migrar internamente é sinalizar a vontade de fazer isso sem ainda estarem preparados.,,,,,,
39,boutique geralmente paga mais que banco correto?,Não necessariamente. A situação que é mais comum é pagar mais para estagiario dado que na prática o estagiário acaba trabalhando como um efetivo,,,,,,
40,"Estou desenvolvendo um sample sobre private equity

Onde posso encontrar informaçoes tanto do marcado brasil e mercado internacional?

Estou tendo bastante dificuldadese encontrar","Busca pesquisar no site dos fundos de private equity e também no site das empresas que possuem os fundos como investidores, fora sites de notícias",,,,,,
41,"agora que estamos no começo de 2024, mas ainda não saiu os resultados consolidados de 2023, vc recomenda fazer os valuations projetando estimativas para 2023 ou tentando tomar como base os 3 primeiros trimestres de resultados?","Qualquer análise, seja com foco em equities ou crédito, deve ser forward looking, ou seja, focando nos resultados esperados. Importante você não perder esse foco",,,,,,
42,"Estou começando hoje o curso, porém estou com algumas dúvidas quanto a carreira e/ou o trajeto que devo seguir na carrerira profissional. Fiz o simulador de carreiras e o resultado deu Tesouraria, equanto no de personalidades ficou entre Asset,
Research e FP&A. E pelo o que entendi eu devo primeiro terminar o curso de Valuation, após isso fazer um Sample e enviar aqui para darem uma olhada, após isso recomenda eu colocar no Likedin e começar a procurar vagas de emprego, correto?","A minha recomendação para você é primeiro de tudo começar pelo módulo dois, caso tenha alguma dificuldade na parte de contabilidade pode olhar as aulas mais focadas em contabilidade, depois sugiro você concluir o seu Sample, tendo isso muito bem construído sugiro você revisar a construção do seu currículo e aí vale a pena você estudar muito bem sobre as áreas e focar em aplicar para a posição desejada já muito bem preparado. O erro mais comum do pessoal é querer aplicar para a vaga sem estar preparado, cuidado para não cair nesse mesmo erro",,,,,,
43,Devo fazer o meu currículo em inglês ou em português?,"Se a chamada da vaga for em inglês, faça o seu currículo em inglês. Se a chamada da vaga for em em português, faça o seu currículo em portugues",,,,,,
44,"Vou começar a assistir as aulas, tava querendo fazer um pos mba e um mestrado de economia, sei que diploma n garante vaga pra ninguem, mas o que recomenda, é uma boa?",Não recomendo. Só recomendaria se fosse fora do país em uma Ivy League da vida,,,,,,
45,"Colega meu tá se mudando para SP, antigo fundador e diretor da liga de mercado financeiro da faculdade, me chamou para assumir, acha bacana ou inútil?","Vai agregar bem pouco... Recomendo focar em outras coisas, como trabalhar de fato no mercado financeiro",,,,,,
46,"Queria ver contigo se poderia me ajudar a entender melhor a NCG

Fiz o cálculo da NCG de um balanço e a NCG deu positiva 

Pois as contas do ativo eram maiores do que as contas do passivo

E a empresa possuía uma boa solvência

Entretanto, queria entender melhor o motivo da NCG ser positiva dado que o ativo é maior que o passivo, isso entraria naquela regra da geração de caixa, correto?

Regra: ativo reduzindo estou gerando caixa, ativo subindo estou drenando","Se a NCG deu positiva, isso significa que a empresa possui uma necessidade líquida de capital de giro, indicando que parte de seus ativos circulantes não está sendo financiada pelo passivo circulante, resultando em uma necessidade de capital adicional.

A razão para a NCG positiva pode estar relacionada ao ciclo operacional da empresa. Se os prazos médios de pagamento aos fornecedores são mais curtos do que os prazos médios de recebimento dos clientes, isso pode levar a uma NCG positiva. Ou seja, a empresa paga seus fornecedores mais rapidamente do que recebe o pagamento de seus clientes, gerando uma necessidade de capital de giro adicional.",,,,,,
47,"Desculpa o desabafo, mas precisava de um conselho, recentemente vi uma postagem tua e me vi nela, se tratava de um rapaz sem objetivo prestes a se formar na facul.
Optei por estagiar por 2 anos na folha de pagamento da Embraer por ser uma empresa de grande porte, na época passei para entrevista do estagio Bradesco 2021 (Vaga em Varejo), mas não quis seguir. Hoje estou no ultimo semestre de Economia sem experiencia prática do MF, sou aluno teu, me identifico muito com a área de RESEARCH (SELL SIDE), qual conselho daria para ingressar no ramo?",Começa montando um sample sólido para demonstrar que tem conhecimento técnico para atuar nessa posição... Esse é o principal ponto. Depois você pode focar para começar a aplicar para as posições,,,,,,
48,qual a estrategia ideal para trabalhar em investment banking?,"O ideal é conseguir entrar muito cedo (idealmente estágio ou
trainee) nessa área dado que você ainda tem muita energia
para gastar e muito aprendizado a receber
IB pode ser muito estressante, mas o upside em termos
financeiros e de aprendizado é porrada
Na minha opinião, faz sentido ""sacrificar"" alguns anos nessa
posição e depois pivotar para outra área onde você tem maior
qualidade de vida
É muito mais fácil migrar de IB para outras áreas do que o
inverso...",,,,,,
49,qual a estrategia ideal para trabalhar em corporate banking?,"Essa área é muito boa para conciliar qualidade de vida e boa
remuneração
A trajetória ideal dentro de Corporate Banking na minha
opinião é primeiro trabalhar no crédito para entender tudo que
é necessário para aprovar uma operação dentro da instituição
e depois pivotar para a área comercial onde mora as maiores
remunerações e, para quem está preparado, mora também
melhor qualidade de vida
Um profissional nessa área que domina muito bem crédito e
também tem boa habilidade comercial está muito bem
encaminhado
Uma boa alternativa para quem tem uma idade mais avançada
e quer ingressar no mercado financeiro",,,,,,
50,qual a estrategia ideal para empreender?,"A melhor estratégia que eu conheço para empreender é você
fazer isso exatamente depois de ter trabalhado para terceiros
na área que quer empreender
Empreender se resume a um potencial de ganho elevado
porém com potencial de perda muito elevado
O ideal é você aprender enquanto trabalha para terceiros dado
que o custo do erro é baixo… se você erra trabalhando para
terceiros, seu salário pode ser impactado. Se você erra
empreendendo, você pode quebrar (inclusive é o que acontece
com a maioria das empresas: quebra por falta de
conhecimento financeiro)
Para quem tem vontade de construir algo de maneira
independente, acho uma excelente ideia empreender de forma
consciente: com conhecimento e começar com uma reserva
financeira razoável",,,,,,
51,"QUAL A
DIFERENÇA DE
VAREJO E
ATACADO?","A diferença se resume no tamanho do
grupo econômico que você atende como
cliente. Atacado: Grandes grupos econômicos como
empresas com faturamento acima
de 30 milhões e famílias com
patrimônio acima de 10 milhões
Menor volume de operações,
porém ticket maior. varejo: Grupos econômicos menores
como empresas de pequeno porte
e investidores de pequeno porte
Allto volume de operações, porém
ticket menor",,,,,,
52,como funciona a área de private banking?,"Foco no atendimento de pessoas/famílias
O principal pilar de relacionamento são
operações de investimento
Importante dominar muito bem a a parte
prática de investimentos, como equities,
renda fixa (crédito) e fundos de investimento
Importante ter um conhecimento técnico
sólido no nível de analista para conseguir
fidelizar o atendimento dos clientes que são
muito assediado por diversas instituições",,,,,,
53,qual o passo a passo para sair do varejo?,"1) Performance: Pré-requisito de qualquer
movimentação interna é estar
entregando performance. 2) Preparação: Se você tentar movimentar sem
estar preparado, vai queimar a
largada
É o erro mais comum que eu eu
vejo acontecer. 3) Sinalização: Uma vez preparado, você deve
sinalizar tanto para seu chefe
direto quanto para o RH o desejo
de você movimentar
O ideal é sinalizar um ano antes de
forma que você acorde uma
performance a ser entregue com a
oportunidade de migrar. 4) Reflexão: Se não der certo, vale refletir para
fazer esse movimento em outra
instituição",,,,,,
54,"Estava querendo fazer um sample M&A, tem algum insight ou ideia de como fazer os quais empresas ou seguimentos ? 
Ou se você tem alguns exemplos para eu utilizar como base","faz de LREN3, é uma boa empresa para fazer o seu primeiro sample. Exemplos você pode achar tanto na plataforma quanto lá no Youtube.",,,,,,
55,em quais Áreas programação pode ser um diferencial?,"Backoffice: É uma área que eu não recomendo
você focar dado que na média você
ganha menos, aprende menos e
tem menos portas de saída do que
outras áreas. Asset com foco quant: É uma posição bacana um pouco
mais restrita (tem menos vagas) e é
importante combinar programação
com a parte prática de finanças para
elaborar teses de investimento. Tesouraria: É uma posição bacana, bastante
competitiva e importante combinar
o conhecimento de programação
com uma visão macro de diversas
classes de ativos",,,,,,
56,qual vaga você recomenda focar?,"Como estratégia de carreira eu acho que faz muito sentido você focar em primeiro trabalhar em uma área com foco mais técnico (onde você é exigido tecnicamente diariamente) e em empresas maiores (onde na média os profissionais são mais qualificados, tem mais deals acontecendo, tem mais ativos sob gestão, mais clientes, interação com outras áreas).",,,,,,
57,fazer uma certificação me prepara para uma vaga no mercado financeiro?," dominar as habilidades que são exigidas no dia a dia.
Importante você não confundir o que é exigido no dia a dia com
conhecimento teórico (que uma faculdade entrega por exemplo) e com
conhecimento regulatório (que uma certificação entrega por exemplo).
Para você saber o que é exigido na área que você quer é bem simples:
estude a rotina de quem trabalha na área que você quer e entenda o que
essa pessoa tem que fazer e domine essas habilidades",,,,,,
58,quais as dicas para fazer um sample?,"As duas coisas mais importantes para se atentar na hora de construir o seu
sample é:
• não ter nenhum erro (dado que isso tira credibilidade do seu trabalho)
• o trabalho tem que estar alinhado com o que é exigido na vaga que você
quer trabalhar (exemplo, não faz sentido você fazer um Valuation para
aplicar para uma vaga de crédito)",,,,,,
59,"Quando vamos calcular a perpetuidade tanto do FCFF quanto do FCFE, utilizamos uma taxa crescimento na perpetuidade. Essa porcentagem, como utilizamos ela ? o crescimento do último ano projetado ou uma média de todos as projeções ou whatever dependendo do cenário ?","o ideal é usar na parpetuidade a taxa deinflação esperada de longo prazo, ao redor de 4,5%",,,,,,
60,"Estou montando o modelo de Valuation da Ambev, mas estou incomodado pois ao planilhar o fluxo de caixa, to ficando com alguns anos com até BRL 2,6Bi em outros … acho que isso não é aceitável, certo?","o mais importante é entender o que compõe a conta outros para saber explicar caso alguém pergunte e se tiverem contas relevantes e projetáveis, você pode criar uma linha nova e projetar esse item ",,,,,,
61,"queria te pedir um norte em relação ao curso. Estou fazendo o de IB, analise fundamentalista etc para começo, acha que eu deveria fazer o de renda fixa antes ou já fico direto nesse?

Outra, queria saber se devo alterar algo no meu cv, se devo colocar que fiz o curso etc","Minha recomendação de ordem para você começar pelo módulo dois do treinamento de análise fundamentalista, se tiver alguma dificuldade na parte contábil vale a pena olhar as aulas focadas nisso temos também outra treinamento de crédito que está super bacana",,,,,,
62,Qual empresa tu indica para fazer uma primeira análise de crédito?,LREN3 é uma boa,,,,,,
63,meu modelo não está fechando,"Se o seu modelo não está fechando, provavelmente você ou planilhou alguma informação errada ou você alterou alguma informação que não era para alterar na planilha. A melhor forma de resolver isso é você abrir uma planilha nova do zero e colocar todos os dados novamente nela",,,,,,
64,"Estou com uma duvida em relação aos indicadores financeiros.
No case prático sua segunda aula de indicadores financeiros, no PDF, Ricardo diz que boa parte do ROE (positivo) está sendo sustentado pela alavancagem do negócio. Não consegui entender essa relação","Se uma empresa usa dívida para financiar seus ativos e a taxa de juros da dívida é menor do que o retorno gerado pelos ativos, o ROE pode ser ampliado. Isso ocorre porque a empresa paga menos em juros do que obtém em retorno, aumentando assim a rentabilidade do capital próprio.",,,,,,
65,"Essa sample do Banco do Brasil, foi feito por qual programa?",A forma mais eficiente que eu conheço de você fazer o sample escrever via Word e salvar como PDF,,,,,,
66,dentro do valuation eu coloco o resultado de equivalencia patrimonial em outros ou dentro do sg&a?,"Se for operacional e recorrente, faz sentido você incluir no lucro operacional de forma que sensibilize nas suas projeções",,,,,,
67,"o que seria o ""multiplicador"" que tem no modelo de Valuation? Não ficou muito claro pra mim a utilização

e como eu encontro o valor do multiplicador ?","O multiplicador é a diferença entre capex e depreciação. Ou seja, multiplicador 100% significa que a empresa investe o mesmo tanto que deprecia.

Multiplicador 120% significa que a empresa repõe o capex e +20% de capex de expansão e por aí vai",,,,,,
68,"A 3 meses inicie um estagio no corporate one, falavam que era varejo e nao botava fe, porem é exatamente isso
Uma atividade que está gerando 0 valor, pra minha carreira
Isso está me deixando desmotivado, quero ter uma oportunidade em IB, ou PE ou ate mesmo em um CB large, Mas estou vendo cada dia mais distante
Eu estudo na fea-usp nao é uma faculdade qualquer, mas parece que essas vagas sao 80% de fgv e insper
E eu percibi que para ter uma oportunidade em um mercado tao competitivo é necesario entregar muito. Porque sao poquísimas vagas e uma alta concorrencia

Estou Indo para o segundo ano da faculdade, e estou pensando em sair do banco e me dedicar 100 para construir conhecimenro técnico, mas tenho a insegurança se vou realmente conseguir entrar no alto escalao do mercado
Qual é a sua visao dessas áreas, como realmente é para ingressar nelas.","A primeira coisa é não desmotivar. Segunda coisa focar muito no dia a dia da vaga que você quer. Se é no Corporate, foca mais em crédito. Se é M&A, foca mais em equities. Importante direcionar para onde você quer ir dessa maneira, alinhando sua preparação com o objetivo. Se você seguir o passo a passo para migrar para o atacado, vai dar certo",,,,,,
69,"Outra dúvida: os investimentos em renda fixa com taxa prefixada também não sofre alteração na rentabilidade caso o mercado entenda que precisa aumentar as taxas, mas no caso, o investidor estaria deixando de ganhar mais por ter optado pela prefixada?","Na verdade, sofre sim. Se você compra um pré fixado e o juros aumenta, você vai perder na marcação a mercado.",,,,,,
70," a minha duvida é em relação ao tesouro direto e os titulos públicos,. n to entendo a diferença entre os dois, o tesouro direto é os titulos da divida negociados diretamente com o governo pelo oq eu entendi

e os títulos públicos são negociados no mercado secundario

a minha duvida é, se esses títulos públicos se tornam títulos públicos a partir do momento q eu eduarda investi em uma divida do tesouro direto e quero vender p alguém, dai o tesouro direto se torna o titulo publico?",Tesouro direito é um programa do governo que possibilita a compra do título público através do tesouro nacional. É basicamente essa a diferença,,,,,,
